Date,Lienz-Falkensteinsteg,Ausservillgraten,Rabland,Sillian,Hochberg,Innervillgraten,Anras,Obertilliach,Kartitsch,Prec_Toblach ,Prec_St.Magdalena in Gsies 
29/03/2000,6.11,0.754,3.82,50.9,41,40.1,34.3,33,39,13.4,16.8
30/03/2000,5.78,0.761,3.69,0.2,0.5,0,0,2.6,0,24.6,25
31/03/2000,5.83,0.771,3.9,2.6,2.1,3.4,1.7,2.4,1.8,0,0.2
01/04/2000,6.32,0.78,3.85,0.2,0.3,0,0,0,0,0.8,0.4
02/04/2000,6.44,0.782,3.84,0.3,0.6,0.8,0.2,0,0.2,0,0.2
03/04/2000,6.08,0.765,3.97,1.3,1.3,1.6,1.3,4.7,2.6,0.6,1
04/04/2000,6.62,0.765,4.15,0,0,0,0,0,0,1.2,1
05/04/2000,7.75,0.849,4.58,13.4,15.4,14,7.9,15.1,19.8,0.2,0
06/04/2000,8.85,0.823,5.35,0,0,0,0,0,0,15.2,13.6
07/04/2000,7.47,0.769,4.97,0,0,0,0,0,0,0,0
08/04/2000,7.89,0.838,4.79,0,0,0,0,0,0,0,0
09/04/2000,6.51,0.85,4.68,0,0.2,0,0,0,0,0,0
10/04/2000,6.39,0.829,4.5,0,0,0,0,0,0,0,0
11/04/2000,6.63,0.773,4.44,0,0.5,0.2,0,0,0,0,0
12/04/2000,7.26,0.762,4.48,2.3,2.3,2.2,1.1,7.5,4.2,0.4,0
13/04/2000,5.93,0.762,4.46,0,0.3,0,0,1.3,0.6,2,1.6
14/04/2000,7.05,0.763,4.61,0,0,0,0,0,0,0,0.2
15/04/2000,7.6,0.791,4.84,5.3,7.8,6.5,7.4,7.6,5.3,0.2,0
16/04/2000,7.39,0.839,5.25,0.001,0,0,0,0.2,0,3.8,2.2
17/04/2000,7.78,0.845,5.27,0.4,0.4,0.3,0.6,0.4,0.5,0.2,0.2
18/04/2000,14.2,1.41,6.62,48.6,49.2,48,54.7,59.1,56.8,0,0.2
19/04/2000,30,2.11,12.8,1.1,1.1,1.2,0.8,1.7,1.2,23,37.6
20/04/2000,20.9,1.81,10.3,0,0,0,0,0,0,1.8,0.6
21/04/2000,19.3,1.87,10.5,0,0,0,0,0,0,0,0
22/04/2000,19.7,2.15,11.3,0,0,0,0,0,0,0,0
23/04/2000,22.3,2.44,12.8,0,0,0,0,0,0,0,0
24/04/2000,25.2,2.68,13.9,5.7,7.1,5.8,6.8,6,7.2,0.6,0
25/04/2000,23,2.53,12.9,0,0,0,0,0,0,8.2,8.6
26/04/2000,22.7,2.72,13.3,0,0,0,0,0,0,0,0
27/04/2000,22.8,2.95,13.8,0,0,0,0,0,0,0,0
28/04/2000,24,2.83,13.4,0,0,0,0,0.2,0,0,0
29/04/2000,22,2.8,13,1.2,0.8,0.6,0.9,4.2,2,0,0
30/04/2000,23,2.73,12.5,0.1,0,0,0,0,0.3,1.2,0.4
01/05/2000,21.5,2.8,12.7,0.2,1.5,0,0,0,0,0,0
02/05/2000,21.8,2.97,13.3,0.5,1.5,1.2,0.001,0,0,0,0
03/05/2000,23.5,3.18,14,4.4,8.5,8.3,0,0.4,0.4,0,0
04/05/2000,25.8,3.48,15.9,1,0.9,0.3,1.1,3,3.4,5.6,1.2
05/05/2000,26.1,3.56,15.6,1.7,3.1,4.2,4.9,2,2.2,1,0.8
06/05/2000,25.6,3.71,15.3,0.4,1.6,0.7,0,0,0.3,0,1.2
07/05/2000,25.5,3.69,15.6,6.3,7.3,7.2,6.7,9.8,7.5,1.8,1
08/05/2000,29.1,4.15,17.8,3.8,2.6,2.3,5,6.2,6.4,8,7.6
09/05/2000,29.9,4.23,18.7,0,0,0,0,0,0,1.6,1
10/05/2000,31.9,4.7,19.9,1.5,1,0.8,1.9,0,0.2,0,0
11/05/2000,32.3,5.02,19.9,0.4,0.3,0.6,0.3,0,2.4,2.4,1
12/05/2000,31.7,4.81,19.3,2.6,0.3,0,0.9,2.4,5.7,0,0
13/05/2000,30.7,4.2,17.6,0.001,1.2,0,0,7.3,0.3,4.4,5.2
14/05/2000,29.3,3.78,17.2,0,0,0,0,0,0,0,0
15/05/2000,27.2,3.77,17.1,0,0,0,0,0,0,0,0
16/05/2000,26.3,3.85,16.7,1,0,0,0.8,4.3,1.5,0,0
17/05/2000,25.8,3.8,16.1,0.6,0,0,0,2,3.6,3,0.2
18/05/2000,24.6,3.83,15.4,3.1,3.7,5.4,2.3,6.4,2.9,0,0.2
19/05/2000,25.7,3.72,15.7,13.8,16,15.7,8.4,13.6,10.3,14.2,21.2
20/05/2000,23.7,3.37,14.9,6.4,5.4,6,4.2,8.2,4.4,11.8,11.2
21/05/2000,21.5,2.85,13.4,5.8,8.1,7.4,4.8,5.3,7.2,1.2,0
22/05/2000,20.9,2.69,13.3,0.9,0,0,1.3,0.3,0,7.2,9.4
23/05/2000,19.1,2.45,12.3,0,0,0,0,0,0,0.2,0
24/05/2000,19.3,2.37,11.9,0,0,0,0,0,0,0,0
25/05/2000,19,2.65,12.1,0.001,0.5,1.7,0.7,0,0,0,0
26/05/2000,18.1,2.79,12.1,0,0,0,0,0,0,0,0
27/05/2000,18.2,2.81,11.9,0,1,1.3,0,0,0,0,0
28/05/2000,19.3,3.16,12.3,0,1.3,1.1,0,0,0,0.4,0
29/05/2000,19.2,3.28,12.5,5.4,3.8,4,6.6,2.3,5.2,0.2,8.6
30/05/2000,17.7,3.02,11.6,0.7,1.5,1.5,0.7,0.3,0.3,0.4,0.8
31/05/2000,17.7,2.89,10.9,4.5,1.1,4.6,4.1,3.5,1,0.2,2.6
01/06/2000,16.6,2.89,10.6,0,0,0,0,0,0,0,3
02/06/2000,16.7,2.97,10.6,0,0.1,0,0,0,0,0,0
03/06/2000,18.4,4.12,12.8,3.8,17.7,15.8,3,8.2,5.4,0,0
04/06/2000,19.9,4.26,13,6.2,4.1,4,12.7,14.8,5.5,4,4.8
05/06/2000,19.6,4.02,12.6,1.3,0.9,0.9,5.7,1,2.1,11,10.8
06/06/2000,19,4.16,12.9,4.8,9.4,9,3.6,19.7,3,1,3.6
07/06/2000,20.1,3.96,12.3,0,0,0,0,0.1,0,3.4,4.8
08/06/2000,17.3,3.45,11.3,0,0,0,0,0,0,0,0
09/06/2000,16.6,3.32,10.8,0,0,0,0,0,0,0,0
10/06/2000,17.3,3.33,10.6,0,0,0,2.4,2.5,2.7,0,0
11/06/2000,15.8,3.16,10.2,0.5,1.4,1.8,1.4,2.2,1.4,0.2,0.2
12/06/2000,15,2.91,9.72,1.8,0.3,0.7,0.6,4.8,1,4.4,4.2
13/06/2000,15.2,2.92,9.66,7.5,1.5,1.9,6.7,14.8,5.8,0,0.4
14/06/2000,14.2,2.7,9.1,0.001,0,0,0,0,0.3,0.4,0.2
15/06/2000,13.8,2.55,8.64,0.2,0,0,5.6,2.5,0.3,0.4,4.6
16/06/2000,13.2,2.42,8.25,0,0,0,0.3,0,0,0,0
17/06/2000,11.9,2.26,7.96,0,0,0,0,0,0,0,0
18/06/2000,12.3,2.1,7.72,0,0,0,0,0,0,0,0
19/06/2000,11.9,1.96,7.48,0,0,0,0,0,0,0,0
20/06/2000,10.8,2.03,7.44,5.6,4.5,5.1,0.5,0,1.2,0,0.2
21/06/2000,12.3,2.09,7.96,4.4,29.7,30.8,3.3,8,2.3,0,1.2
22/06/2000,10.5,1.87,7.42,0,0,0,0,0,0,0.6,6
23/06/2000,11.2,2,7.28,23.4,20.2,20.6,30.8,27.4,33.6,0,0
24/06/2000,18.1,2.77,9.92,33,30.2,28,30.4,32.6,36.3,12.4,23.2
25/06/2000,22,3.02,12.3,0,0,0,0.001,0.2,0,16,21.2
26/06/2000,15.7,2.37,8.97,0,0,0,0,0,0,0,0
27/06/2000,13.7,2.18,8.1,0,0,0,0,0,0,0,0
28/06/2000,13.7,2.19,8.2,0.001,1.7,1.2,0.9,1,0,0,0
29/06/2000,12.7,2.12,7.63,0,0,0,0,0,0,0.4,0.8
30/06/2000,12.3,2.03,7.64,3.9,3.8,4,7.9,3.8,2.5,0,0
01/07/2000,12.5,2.08,7.86,21.9,15.7,16,13.8,16.7,13.9,0.2,2.6
02/07/2000,13.4,2.19,8.58,0,0,0,0,0,0,11.6,18.6
03/07/2000,11.1,1.79,7.39,0.1,0.4,0.5,0.2,0.1,0,0,0
04/07/2000,12.6,1.76,7.49,9.3,12.5,10.7,8.1,12.4,9,0.2,0.2
05/07/2000,13.5,1.85,8.15,18.4,4.4,5.4,12.7,13.5,17.3,9.6,12.8
06/07/2000,13.9,1.7,7.54,0.4,0.5,1.5,0,0,0,6.4,1.6
07/07/2000,12.2,1.62,7.25,14.4,20,14,20.1,4.8,6.7,0.6,0.8
08/07/2000,15.5,2.2,9.27,9.2,8.8,8.8,3.4,11,8.5,17.2,12.6
09/07/2000,14.8,2.03,8.5,0,0,0,0,0,0,8.2,5.6
10/07/2000,13.3,1.86,8.04,15.1,16.2,16.8,9,16.5,14.2,0,0
11/07/2000,27,3.07,15.3,32.4,26.8,25.6,32.6,28.6,43.8,15.2,21.6
12/07/2000,26.1,2.98,14.7,0,0,0,0,0,0,18.2,27.8
13/07/2000,22,2.76,12.8,0.4,3.2,3.1,1,0.2,0.3,0,0
14/07/2000,20.8,2.82,12.3,2.8,3.5,4.2,2.7,6.9,4.8,0.2,3.2
15/07/2000,20.4,2.67,11.6,0.001,0,0,1.6,0.4,0,3.8,3
16/07/2000,18.1,2.5,10.8,0.001,0,0,0,0,0,0.2,0
17/07/2000,17.3,2.38,10.1,3.6,3.2,3.5,7.6,7.2,11.6,0,0
18/07/2000,17,2.33,9.84,0,0,0,0,0,0,0.8,1.4
19/07/2000,15.7,2.18,9.4,0,0,0,0.4,0,0,0,0
20/07/2000,15.3,2.04,9.06,0,0,0,0,0,0,0,0
21/07/2000,13.7,1.92,8.4,0,0,0,0,0,0,0,0
22/07/2000,13.3,1.82,8.31,0.1,0,0,0,0,1.4,0,0
23/07/2000,12.5,1.77,7.99,6.3,6.5,6.5,5.4,6.1,5.1,0,0
24/07/2000,13.7,1.88,8.52,2.6,6.7,6.7,1.8,1.3,1.9,4.2,6.6
25/07/2000,12.8,1.8,8.1,0.6,3.3,3.2,0.4,0.2,0.9,3.6,9.4
26/07/2000,13.6,1.94,8.37,14.8,27,23,8.8,23.4,10.3,0.4,1
27/07/2000,13.3,1.89,8.77,1.3,0.3,0.4,3,0.5,0.5,10.2,13
28/07/2000,17.5,2.49,10.7,24.3,14.4,12.4,21.6,22.8,18.7,0,13
29/07/2000,15.5,2.19,9.24,0.001,0,0,0,0,0,13,10.6
30/07/2000,13.4,2.02,8.36,0,0,0,0.4,0.4,0,0,0
31/07/2000,13.1,1.87,8.31,0,0,0,0,0,0,0,0.8
01/08/2000,12,1.83,7.76,0,0,0,0,0,0,0,0
02/08/2000,12.6,1.75,7.85,9.3,4.4,4.4,6.4,13.3,8.6,0,0
03/08/2000,12.7,1.89,8.38,17.3,17.6,17.8,15.7,14.5,14.9,13.4,7.4
04/08/2000,18.3,2.72,11.6,16.6,23.5,21,11.6,13.3,13.3,13.8,17.8
05/08/2000,22.3,3.35,13.7,27.3,23.7,22.9,36.8,39,38.4,6.8,16
06/08/2000,34.9,4.5,19.9,0.7,0.6,0.5,3.9,4.9,4.1,20,11.2
07/08/2000,26.8,3.9,16.1,0,0,0,0,0,0,1,3.4
08/08/2000,23,3.66,14.6,1.3,0.4,0.6,2.3,1.6,1.2,0,0
09/08/2000,22.2,3.57,13.9,0.6,0,0,8,8,1.1,0.2,0.6
10/08/2000,21.1,3.07,13,0,0,0,0,0,0,0,0.2
11/08/2000,19.7,2.78,12.2,0,0,0,0,0,0,0,0
12/08/2000,18.9,2.83,12.3,4.7,9.8,11.1,1.2,1.8,7.2,0,0
13/08/2000,18.5,2.73,12.1,0,0,0,0,3.9,0,5,23.8
14/08/2000,16.7,2.63,11.3,0,0,0,0,0,0,0,0
15/08/2000,16.3,2.49,10.6,0,0,0,0,0,0,0,1.6
16/08/2000,16.1,2.6,10.3,0.8,1.5,1.1,2.1,5.8,0,0,0
17/08/2000,17.2,3.66,12,12.5,6.5,9,6.8,5,7.4,3.8,2.2
18/08/2000,15.8,3.1,11.2,1.5,0.1,0.6,0.2,0,1.2,1.8,1.2
19/08/2000,15.4,2.78,10,0,0,0,0,0,0,0,0
20/08/2000,14.2,2.63,9.49,0,0,0,0,0,0,0,0
21/08/2000,13.2,2.54,9.14,0,0,0,0,0,0,0,0
22/08/2000,12.7,2.43,8.79,0,0,0,0,0,0,0,0
23/08/2000,12.7,2.38,8.47,0,0,0,0,0,0,0,0
24/08/2000,12.3,2.16,8.16,0,0,0,0,0,0,0,0
25/08/2000,11.7,2.07,7.95,0,0,0,0,0,0,0,0
26/08/2000,11.6,2,7.65,0,0,0,0,0,0,0,0
27/08/2000,10.3,2.04,7.56,14,16.5,17.6,6.1,10,10.8,0,0
28/08/2000,13.8,2.22,8.95,0.5,1,1,1.2,4.9,1.5,21.2,21.4
29/08/2000,11.6,1.97,7.7,0,0,0,0,0,0,0,0.4
30/08/2000,11.8,2.02,7.88,14.5,11.7,12.6,11.7,14.4,6.2,0,0
31/08/2000,11.9,2.05,7.94,1.7,2.4,2,2,4.9,3.2,8.8,13.6
01/09/2000,11.7,1.95,7.76,0.5,0,0,0,0,0.1,2.8,3.2
02/09/2000,12.4,2,7.69,17.9,5.8,6.5,17.9,24.1,15.2,0,0.2
03/09/2000,12.5,1.92,7.79,0.2,1.1,0.9,0.1,1.1,1,12,4.4
04/09/2000,10.8,1.87,7.43,8.2,1.5,2.1,1.7,2.9,3.7,0.2,0.4
05/09/2000,10.8,1.78,7.11,0,0,0,0,0,0,0.4,2.4
06/09/2000,10.5,1.69,6.85,4.5,4.8,4.6,3.4,3.7,2.8,0,0
07/09/2000,10.8,1.73,7.15,0,0.3,0,0,0,0,5.4,5.6
08/09/2000,10.6,1.59,6.68,0,0,0,0,0,0,0.2,0.4
